Title: The HD 191939 Exoplanet System is Well-Aligned and Flat 
Authors: Lubin J., Petigura E.A., Van Zandt J., Beard C., Dai F., Halverson S.,
         Holcomb R., Howard A., Isaacson H., Luhn J., Robertson P., 
         Rubenzahl R.A., Stefansson G., Winn J.N., Brodheim M., Deich W., 
         Hill G.M., Gibson S.R., Holden B., Householder A., Laher R.R., 
         Lanclos K., Payne J., Roy A., Smith R., Shaum A.P., 
         Schwab C., Walawender J. 
Table: Observations
================================================================================
Byte-by-byte Description of file: ajad79edt3_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label   Explanations
--------------------------------------------------------------------------------
   1- 13 F13.5  d       BJD     Barycentric Julian Date
  15- 22 F8.2   m/s     RVel    Radial velocity from Inst
  24- 28 F5.2   m/s   e_RVel    Uncertainty in RVel
  30- 37 A8     ---     Inst    Instrument used
  39- 47 A9     ---     Source  Source identifier (1)
--------------------------------------------------------------------------------
Note (1):
            A = Orell-Miquel et al. (2023) [2023A&A...669A..40O];
            B = Lubin et al. (2022) [2022AJ....163..101L];
            C = Polanski et al. (2024) [2024ApJS..272...32P];
    This work = These three are the only RVs used in this study that 
                have not been previously published.
--------------------------------------------------------------------------------
2459049.81083   -26.70  2.95 APF      B
2459050.53207     4.09  3.35 CARMENES A
2459050.76182   -28.03  2.63 APF      B
2459051.78011   -20.73  2.40 APF      B
2459051.90693   -17.45  1.06 HIRES    B
2459052.85941   -24.40  2.65 APF      B
2459053.78238   -32.20  2.75 APF      B
2459054.51882    -6.74  2.91 CARMENES A
2459054.79882   -31.81  2.94 APF      B
2459055.58124    -6.43  2.73 CARMENES A
2459055.76949   -27.00  2.76 APF      B
2459056.76285   -29.09  2.93 APF      B
2459057.81888   -26.20  2.94 APF      B
2459058.07064   -25.60  1.14 HIRES    B
2459058.84607   -25.39  3.07 APF      B
2459059.50007    -2.52  3.09 CARMENES A
2459059.73371   -25.18  2.41 APF      B
2459060.78372   -32.61  2.56 APF      B
2459061.47817    -4.74  2.75 CARMENES A
2459061.80639   -38.10  2.39 APF      B
2459062.78266   -34.89  2.66 APF      B
2459063.52622   -10.88  2.52 CARMENES A
2459063.80782   -34.05  2.99 APF      B
2459064.01645   -34.56  0.99 HIRES    B
2459064.47085   -12.85  2.62 CARMENES A
2459064.78292   -35.49  2.66 APF      B
2459065.48310   -12.97  2.86 CARMENES A
2459065.82773   -25.28  2.62 APF      B
2459066.55870   -16.03  2.67 CARMENES A
2459066.81103   -31.50  3.10 APF      B
2459067.45986    -9.62  2.78 CARMENES A
2459067.98804   -23.33  1.71 HIRES    B
2459068.47114   -13.35  2.55 CARMENES A
2459068.78429   -28.66  2.68 APF      B
2459068.92558   -26.03  1.05 HIRES    B
2459069.57521   -12.26  2.29 CARMENES A
2459069.76952   -33.88  2.61 APF      B
2459070.47779   -13.56  3.08 CARMENES A
2459070.76693   -37.33  3.00 APF      B
2459071.64476   -18.23  2.72 CARMENES A
2459071.75159   -37.32  3.04 APF      B
2459071.89567   -31.92  1.11 HIRES    B
2459072.74263   -40.74  2.29 APF      B
2459072.85526   -32.27  0.93 HIRES    B
2459073.75500   -31.84  2.32 APF      B
2459074.74290   -36.40  2.58 APF      B
2459075.76974   -28.81  8.30 APF      B
2459076.76766   -32.05  2.70 APF      B
2459077.82558   -25.88  0.98 HIRES    B
2459078.46728   -12.55  2.41 CARMENES A
2459078.80139   -22.46  0.97 HIRES    B
2459079.43717   -11.83  2.17 CARMENES A
2459081.60354   -16.45  2.99 CARMENES A
2459085.42883    -4.19  1.90 CARMENES A
2459086.43769    -6.52  2.02 CARMENES A
2459087.56076 -9239.57  1.02 HARPS-N  A
2459087.91104   -12.26  1.01 HIRES    B
2459088.39702    -4.57  2.92 CARMENES A
2459088.48194 -9235.01  1.37 HARPS-N  A
2459088.83587   -12.07  1.02 HIRES    B
2459089.56003 -9239.04  0.99 HARPS-N  A
2459089.81330   -14.90  0.98 HIRES    B
2459090.53857 -9240.95  1.07 HARPS-N  A
2459090.64497   -10.55  3.64 CARMENES A
2459091.04154   -14.72  1.03 HIRES    B
2459091.61042    -0.26  3.80 CARMENES A
2459092.02035   -12.82  1.05 HIRES    B
2459092.44332    -3.95  1.77 CARMENES A
2459093.02461    -7.55  1.03 HIRES    B
2459093.41763     4.08  2.20 CARMENES A
2459094.80531    -3.57  0.98 HIRES    B
2459095.57899     0.21  2.73 CARMENES A
2459096.51872     3.71  3.04 CARMENES A
2459097.96410    -6.76  1.11 HIRES    B
2459098.49190    -1.39  3.17 CARMENES A
2459099.47240    -0.32  2.38 CARMENES A
2459099.74903    -7.81  1.21 HIRES    B
2459100.41948     4.17  3.30 CARMENES A
2459100.71613    -4.48  1.04 HIRES    B
2459101.59228     4.63  3.09 CARMENES A
2459101.71640    -3.58  0.99 HIRES    B
2459112.58807    18.65  3.81 CARMENES A
2459113.45591    10.70  3.49 CARMENES A
2459114.35955    15.62  3.97 CARMENES A
2459114.81685    12.41  1.09 HIRES    B
2459115.57557     8.82  4.65 CARMENES A
2459117.97406     7.79  1.12 HIRES    B
2459118.53245    10.39  3.89 CARMENES A
2459118.97921     7.43  1.49 HIRES    B
2459119.45997    20.57  2.43 CARMENES A
2459119.86076    13.43  1.10 HIRES    B
2459120.38682    24.22  2.52 CARMENES A
2459120.95547    12.21  1.00 HIRES    B
2459121.32144    24.25  2.50 CARMENES A
2459121.71804    14.14  1.33 HIRES    B
2459122.72012    12.31  1.06 HIRES    B
2459123.71016    13.97  1.11 HIRES    B
2459126.48021    23.88  2.96 CARMENES A
2459128.50687    17.25  2.94 CARMENES A
2459132.67421     1.37  2.86 APF      B
2459135.67086   -11.84  2.90 APF      B
2459138.32462 -9218.54  0.68 HARPS-N  A
2459138.43846    19.50  2.32 CARMENES A
2459139.38512    17.31  2.12 CARMENES A
2459146.44684    12.34  2.32 CARMENES A
2459147.36218    12.27  2.59 CARMENES A
2459148.33924    20.42  3.85 CARMENES A
2459149.38589     8.88  2.27 CARMENES A
2459149.38591 -9227.07  1.23 HARPS-N  A
2459150.29003     2.29  2.72 CARMENES A
2459150.38028 -9225.44  2.77 HARPS-N  A
2459150.39698 -9230.18  0.94 HARPS-N  A
2459151.34803     1.32  2.13 CARMENES A
2459151.38073 -9235.18  0.93 HARPS-N  A
2459151.78515   -16.46  1.25 HIRES    B
2459152.28950    -1.19  1.96 CARMENES A
2459153.31153    -1.15  2.09 CARMENES A
2459153.84763   -13.79  1.30 HIRES    B
2459154.31122    -4.41  2.31 CARMENES A
2459156.39032    -1.05  1.79 CARMENES A
2459157.63902   -21.76  4.28 APF      B
2459160.37877 -9246.91  0.93 HARPS-N  A
2459161.33105   -17.34  2.16 CARMENES A
2459162.40944   -10.30  4.67 CARMENES A
2459163.35593    -9.71  2.41 CARMENES A
2459168.62905   -23.11  2.68 APF      B
2459170.35098   -15.20  2.32 CARMENES A
