Planet_Name,SNR_Emission_15_micron,SNR_Emission_5_micron,SNR_Transmission_K_mag,Rp,Mp,Tday,Teq,log10g_p,Period,Transit_Duration,K_mag,Distance,Teff,log10g_s,Transit_Flag,Catalog_Name
TOI 1194.01,0.077,0.078,,0.78,,1668.0,1052.0,,2.3106,1.294,9.3,149.67,5323.0,4.407,True,toi
TOI 1396.01,0.02,0.065,,0.57,,1246.0,1667.0,,3.9931,4.783,8.8,102.93,4706.0,4.354,True,toi
TOI 1072.01,0.1,0.133,,2.28,,1580.0,1225.0,,12.838,9.8464,10.6,703.88,5815.0,3.681,True,toi
TOI 317.01,0.05,0.087,,1.32,,1456.0,1120.0,,3.3263,2.9439,11.8,446.34,5391.0,4.458,True,toi
TOI 1127.01,,,,,,3841.0,4502.0,,2.3244,4.453,7.0,177.74,8688.0,3.931,True,toi
TOI 700.02,0.0,0.0,,0.12,,321.0,247.0,,37.4237,3.365,8.6,31.13,3494.0,4.809,True,toi
TOI 594.01,,,,,,,757.0,,13.9493,4.5805,10.0,992.63,,,True,toi
TOI 487.01,,,,0.24,,,666.0,,24.3322,5.219,8.8,125.98,,,True,toi
TOI 415.01,0.207,0.107,,1.22,,2165.0,1666.0,,3.6113,3.5377,9.9,381.17,6572.0,4.119,True,toi
TOI 1408.01,0.067,0.051,,0.72,,1903.0,1131.0,,4.4247,1.215,8.1,139.48,6594.0,4.233,True,toi
TOI 1003.01,,,,,,,1631.0,,2.7432,3.167,8.0,7728.17,6955.0,,True,toi
TOI 602.01,0.33,0.14,,2.48,,2613.0,2010.0,,11.1002,2.1987,9.6,613.41,10633.0,4.079,True,toi
TOI 1274.01,0.0,0.012,,0.84,,674.0,534.0,,19.3203,4.215,10.3,178.14,4684.0,4.5,True,toi
TOI 261.01,0.019,0.016,,0.27,,1803.0,1387.0,,3.3639,3.343,8.2,114.5,5890.0,4.253,True,toi
TOI 390.01,0.44,0.194,,1.09,,2285.0,1519.0,,1.4703,1.126,9.1,167.31,6321.0,4.466,True,toi
TOI 370.01,0.049,0.076,,1.62,,1524.0,1172.0,,4.0464,3.0384,12.6,748.23,5805.0,4.409,True,toi
TOI 255.01,0.037,0.041,,1.08,,1651.0,1270.0,,2.8126,2.8738,12.7,745.12,5667.0,4.434,True,toi
TOI 1342.01,,,,,,,2358.0,,1.4136,1.448,9.5,,,,True,toi
TOI 143.01,0.866,0.269,,1.55,,2688.0,2068.0,,2.311,3.4304,9.1,298.11,6510.0,3.982,True,toi
TOI 801.01,0.015,0.003,,0.08,,3154.0,2426.0,,0.7757,1.2816,6.7,71.37,6283.0,4.263,True,toi
TOI 957.01,0.055,0.009,,0.24,,4574.0,3518.0,,0.8318,1.875,8.8,280.19,8897.0,4.268,True,toi
TOI 286.01,0.001,0.003,,0.13,,1159.0,850.0,,4.5117,1.785,7.9,59.23,5116.0,4.573,True,toi
TOI 920.01,,,,,,,565.0,,19.2998,3.17,8.8,3540.18,4366.0,,True,toi
TOI 283.01,0.0,0.002,,0.18,,757.0,610.0,,17.6175,3.615,8.5,82.7,5245.0,4.574,True,toi
TOI 1013.01,,,,,,,2293.0,,5.4256,3.702,7.8,510.3,,,True,toi
TOI 1103.01,,,,4.05,,,1976.0,,2.9431,4.073,8.6,320.21,4437.0,,True,toi
TOI 1132.01,0.057,0.013,,0.3,,3426.0,2839.0,,1.5503,2.938,8.9,286.67,7880.0,4.174,True,toi
TOI 723.01,0.003,0.003,,0.1,,1616.0,1284.0,,1.4179,1.452,8.7,80.98,4908.0,4.584,True,toi
TOI 1025.01,,,,,,,1915.0,,9.6838,2.4006,5.6,129.84,12942.0,,True,toi
TOI 708.01,0.012,0.007,,0.17,,2048.0,1552.0,,1.9961,5.9109,10.0,214.76,6952.0,4.672,True,toi
TOI 1149.01,,,,,,,3115.0,,2.3202,2.3818,8.0,632.55,13079.0,,True,toi
TOI 375.01,,,,1.14,,,909.0,,9.4546,10.2948,9.1,396.21,5002.0,,True,toi
TOI 644.01,,,,0.21,,,1465.0,,1.9271,4.553,9.0,203.53,,,True,toi
TOI 1189.01,,,,0.96,,,0.0,,3.9688,1.07,8.4,,,,True,toi
TOI 378.01,,,,0.86,,,1338.0,,3.1093,2.506,12.0,629.79,,,True,toi
TOI 340.01,,,,,,,742.0,,14.85,5.9888,11.7,497.55,,,True,toi
TOI 368.01,0.488,0.299,,1.39,,1946.0,1652.0,,1.3866,2.238,10.4,233.59,5444.0,4.479,True,toi
TOI 944.01,0.812,0.247,,3.15,,2785.0,2249.0,,6.0588,4.084,9.8,938.4,7011.0,3.512,True,toi
TOI 1316.01,0.087,0.032,,0.77,,2507.0,1644.0,,3.8051,3.347,9.6,434.96,6556.0,3.829,True,toi
TOI 312.01,0.043,0.039,,0.95,,1744.0,1342.0,,3.5412,2.4849,11.3,506.71,5755.0,4.235,True,toi
TOI 436.01,,,,,,857.0,643.0,,1.8756,0.989,10.8,77.54,3505.0,4.834,True,toi
TOI 128.01,0.007,0.011,,0.21,,1517.0,1178.0,,4.9405,1.954,6.9,68.47,6059.0,4.387,True,toi
TOI 1032.01,0.3,0.091,,1.32,,3101.0,2386.0,,5.6644,3.8087,9.4,587.2,10395.0,4.128,True,toi
TOI 845.01,0.138,0.223,,2.21,,1508.0,1443.0,,7.0618,5.853,10.7,475.36,5862.0,4.124,True,toi
TOI 342.01,,,,,,,792.0,,10.4578,3.148,11.8,508.84,,,True,toi
TOI 690.01,,,,,,,1887.0,,3.6438,3.38,9.2,3500.23,,,True,toi
TOI 1371.01,1.189,0.761,,3.24,,2026.0,1883.0,,5.0096,3.353,9.3,302.3,6802.0,4.115,True,toi
TOI 641.01,0.02,0.014,,0.28,,1911.0,1333.0,,1.8931,1.339,8.9,134.04,5646.0,4.401,True,toi
TOI 398.01,0.924,0.529,,1.17,,2007.0,1544.0,,1.36,2.1653,8.4,105.17,5605.0,4.493,True,toi
TOI 843.01,0.049,0.073,,1.28,,1531.0,1178.0,,4.2986,3.1434,11.4,471.16,5771.0,4.354,True,toi
TOI 300.01,0.042,0.015,,0.62,,2404.0,1044.0,,2.7575,1.376,10.1,397.39,5777.0,3.83,True,toi
