draw_index,stable,note,m_b,a_b,e_b,inc_b,Omega_b,omega_b,M_b,m_c,a_c,e_c,inc_c,Omega_c,omega_c,M_c,m_d,a_d,e_d,inc_d,Omega_d,omega_d,M_d,m_e,a_e,e_e,inc_e,Omega_e,omega_e,M_e,detail_file
1509,False,encounter,2.8828745865873613e-05,0.079,0.0,1.5707963267948966,0.0,1.5707963267948966,1.101827867291238,1.4495374e-05,0.17053401,0.3627905,1.5707963267948966,0.0,-2.255675,1.9645038,9.264989e-06,0.20746352,0.31327072,1.5707963267948966,0.0,-2.2582307,4.3099146,0.00034269932999498763,0.4,0.0,1.5707963267948966,0.0,4.014257279586958,4.090677566041135,sim_details_e=0_rhill/sim_1509.csv
1725,False,orbit crossing,2.8828745865873613e-05,0.079,0.0,1.5707963267948966,0.0,1.5707963267948966,1.101827867291238,1.603252e-05,0.17053439,0.22275014,1.5707963267948966,0.0,-2.4197376,1.9280868,9.603911e-06,0.2074638,0.19149525,1.5707963267948966,0.0,-2.4225008,4.3101254,0.00034269932999498763,0.4,0.0,1.5707963267948966,0.0,4.014257279586958,4.090677566041135,sim_details_e=0_rhill/sim_1725.csv
5191,False,orbit crossing,2.8828745865873613e-05,0.079,0.0,1.5707963267948966,0.0,1.5707963267948966,1.101827867291238,1.6693235e-05,0.17053379,0.3053666,1.5707963267948966,0.0,-2.396961,2.0573993,1.0239175e-05,0.20746386,0.26283538,1.5707963267948966,0.0,-2.3976471,4.411062,0.00034269932999498763,0.4,0.0,1.5707963267948966,0.0,4.014257279586958,4.090677566041135,sim_details_e=0_rhill/sim_5191.csv
1851,False,orbit crossing,2.8828745865873613e-05,0.079,0.0,1.5707963267948966,0.0,1.5707963267948966,1.101827867291238,1.6059945e-05,0.17053436,0.24848247,1.5707963267948966,0.0,-2.581252,2.1788716,1.1278039e-05,0.20746332,0.21371654,1.5707963267948966,0.0,-2.5824642,4.546696,0.00034269932999498763,0.4,0.0,1.5707963267948966,0.0,4.014257279586958,4.090677566041135,sim_details_e=0_rhill/sim_1851.csv
3507,False,orbit crossing,2.8828745865873613e-05,0.079,0.0,1.5707963267948966,0.0,1.5707963267948966,1.101827867291238,1.3131829e-05,0.1705345,0.20174746,1.5707963267948966,0.0,-2.4065027,1.8728776,8.457945e-06,0.20746371,0.17411543,1.5707963267948966,0.0,-2.4122984,4.2664495,0.00034269932999498763,0.4,0.0,1.5707963267948966,0.0,4.014257279586958,4.090677566041135,sim_details_e=0_rhill/sim_3507.csv
1604,False,orbit crossing,2.8828745865873613e-05,0.079,0.0,1.5707963267948966,0.0,1.5707963267948966,1.101827867291238,2.0348187e-05,0.17053431,0.20369379,1.5707963267948966,0.0,-2.4316022,1.9076438,1.3798731e-05,0.20746496,0.17362623,1.5707963267948966,0.0,-2.4299133,4.28703,0.00034269932999498763,0.4,0.0,1.5707963267948966,0.0,4.014257279586958,4.090677566041135,sim_details_e=0_rhill/sim_1604.csv
530,False,orbit crossing,2.8828745865873613e-05,0.079,0.0,1.5707963267948966,0.0,1.5707963267948966,1.101827867291238,1.4227574e-05,0.17053513,0.12734239,1.5707963267948966,0.0,2.9476845,2.715448,9.082384e-06,0.20746122,0.11029725,1.5707963267948966,0.0,2.943277,5.1230836,0.00034269932999498763,0.4,0.0,1.5707963267948966,0.0,4.014257279586958,4.090677566041135,sim_details_e=0_rhill/sim_530.csv
3110,False,orbit crossing,2.8828745865873613e-05,0.079,0.0,1.5707963267948966,0.0,1.5707963267948966,1.101827867291238,1.984154e-05,0.17053393,0.25558954,1.5707963267948966,0.0,-2.3354037,1.8777242,1.2333457e-05,0.2074652,0.21857403,1.5707963267948966,0.0,-2.3347623,4.246724,0.00034269932999498763,0.4,0.0,1.5707963267948966,0.0,4.014257279586958,4.090677566041135,sim_details_e=0_rhill/sim_3110.csv
757,False,orbit crossing,2.8828745865873613e-05,0.079,0.0,1.5707963267948966,0.0,1.5707963267948966,1.101827867291238,1.7054146e-05,0.17053342,0.18310143,1.5707963267948966,0.0,-1.7487352,0.9589176,9.9448525e-06,0.20746969,0.15647191,1.5707963267948966,0.0,-1.7458173,3.3781424,0.00034269932999498763,0.4,0.0,1.5707963267948966,0.0,4.014257279586958,4.090677566041135,sim_details_e=0_rhill/sim_757.csv
2300,False,orbit crossing,2.8828745865873613e-05,0.079,0.0,1.5707963267948966,0.0,1.5707963267948966,1.101827867291238,1.440726e-05,0.1705345,0.2080459,1.5707963267948966,0.0,-2.4135985,1.8934884,8.745442e-06,0.2074635,0.1794259,1.5707963267948966,0.0,-2.4177039,4.2824955,0.00034269932999498763,0.4,0.0,1.5707963267948966,0.0,4.014257279586958,4.090677566041135,sim_details_e=0_rhill/sim_2300.csv
5072,False,orbit crossing,2.8828745865873613e-05,0.079,0.0,1.5707963267948966,0.0,1.5707963267948966,1.101827867291238,1.3376942e-05,0.17053421,0.20033555,1.5707963267948966,0.0,-2.3392572,1.7853074,8.077109e-06,0.20746462,0.17268367,1.5707963267948966,0.0,-2.3443184,4.1801434,0.00034269932999498763,0.4,0.0,1.5707963267948966,0.0,4.014257279586958,4.090677566041135,sim_details_e=0_rhill/sim_5072.csv
2560,False,orbit crossing,2.8828745865873613e-05,0.079,0.0,1.5707963267948966,0.0,1.5707963267948966,1.101827867291238,2.128896e-05,0.17053361,0.25103328,1.5707963267948966,0.0,-2.3968387,1.9512763,1.4061755e-05,0.20746563,0.21432608,1.5707963267948966,0.0,-2.3941238,4.3159084,0.00034269932999498763,0.4,0.0,1.5707963267948966,0.0,4.014257279586958,4.090677566041135,sim_details_e=0_rhill/sim_2560.csv
