TIC ID,TOI ID,TOI_1,TOI_2,P1 (days),P2 (days),Rp1 (R_Earth),Rp2 (R_Earth),resonance,delta,R_star (R_sun),Rp1/R_star,Rp2/R_star,baseline (days),num_transits_1,num_transits_2,expected tc_err 1,expected tc_err 2,num_sectors,simbad_link
142276270,1136,1136.02,1136.01,6.2586065,12.5187279,2.51593,5.58857,2:1,0.0001210253432613051,0.98,0.0235364955176551,0.052281006528441476,1684.13316453821,31,15,0.00234,0.00119,7,http://simbad.u-strasbg.fr/simbad/sim-id?Ident=TIC+142276270
142276270,1136,1136.01,1136.04,12.5187279,18.795546965368,5.58857,2.1597669465545,3:2,0.000929546809517845,0.98,0.052281006528441476,0.020204594347521445,1684.13316453821,31,15,0.00234,0.00119,7,http://simbad.u-strasbg.fr/simbad/sim-id?Ident=TIC+142276270
269701147,1339,1339.02,1339.03,28.5804571,38.3513495,2.55979,2.6167,4:3,0.006404901935595619,0.92,0.025508553472886237,0.02607566709476223,1951.4613857628049,26,19,0.00224,0.0023,28,http://simbad.u-strasbg.fr/simbad/sim-id?Ident=TIC+269701147
364186197,1408,1408.02,1408.01,2.2222094,4.424712,1.39527,8.05593,2:1,-0.004434055584500718,1.49,0.008585019951900119,0.04956769641797697,1924.1729586528838,197,96,0.01372,0.00211,18,http://simbad.u-strasbg.fr/simbad/sim-id?Ident=TIC+364186197
318022259,1730,1730.01,1730.03,6.2262315,12.5739572,2.75524,2.4359,2:1,0.009756640112080772,0.53,0.04765987357378614,0.04213596130949959,1120.0785606654956,10,4,0.0034,0.00251,3,http://simbad.u-strasbg.fr/simbad/sim-id?Ident=TIC+318022259
233602827,1749,1749.01,1749.02,4.489136684777,9.0447038549647,1.9980298322591,2.2493746087611,2:1,0.007399026814662424,0.56135600805283,0.032631190143994494,0.03673607339514357,1979.4723351469293,193,98,0.00524,0.00572,37,http://simbad.u-strasbg.fr/simbad/sim-id?Ident=TIC+233602827
441738827,2084,2084.01,2084.02,6.0784031,8.1490284638996,2.07448,2.5781465315304,4:3,0.005489640515071947,0.47,0.040465109037583456,0.05028970176296963,1924.1747378301184,128,92,0.00705,0.00525,33,http://simbad.u-strasbg.fr/simbad/sim-id?Ident=TIC+441738827
441798995,2269,2269.01,2269.02,1.4206036111002,2.8411415,1.1974247061765,1.42162,2:1,-2.3131787039942786e-05,0.548484,0.020014906802536942,0.02376232230874692,1979.474328131272,712,361,0.01217,0.01673,43,http://simbad.u-strasbg.fr/simbad/sim-id?Ident=TIC+441798995
143022742,4323,4323.01,4323.02,14.676265843378,21.969257784454,2.8523347853539,4.1061739210867,3:2,-0.00205052071122791,0.45886099338531,0.05698869054684316,0.0820399751536507,759.0413464741005,4,3,0.00565,0.00326,2,
120826158,4495,4495.02,4495.01,2.5693728,5.1830043,2.18392,3.63045,2:1,0.008612743935017875,1.34,0.014941742507814527,0.02483847809786771,1849.8231633867706,68,34,0.00628,0.00418,7,http://simbad.u-strasbg.fr/simbad/sim-id?Ident=TIC+120826158
374180079,5520,5520.01,5520.02,14.698080031657,19.483483296129,3.177884030237,3.5483433164414,4:3,-0.00581487917987733,0.73378902673721,0.0397041728058613,0.04433265495846476,1489.6661668632487,9,8,0.0036,0.0047,6,http://simbad.u-strasbg.fr/simbad/sim-id?Ident=TIC+374180079
384984325,6109,6109.02,6109.01,5.6952223,8.5386633,3.92346,4.04578,3:2,-0.0004881460026591178,0.95,0.03786299331381494,0.03904343133080653,1845.3876777715757,13,8,0.00559,0.0038,3,http://simbad.u-strasbg.fr/simbad/sim-id?Ident=TIC+384984325
64837857,6650,6650.01,6650.02,20.3292125,30.5055627,14.2065,5.65993,3:2,0.000385125592051061,1.37,0.09506832655026864,0.037875625487745895,756.985124603671,6,4,0.00041,0.00173,4,http://simbad.u-strasbg.fr/simbad/sim-id?Ident=TIC+64837857
